metric_id,metric_name,category,definition,formula,data_format,source,system,stakeholder,layers,aliases,core_question,priority,dashboard_flag,extraction_notes
yield_on_cost,Yield on Cost,Investment Basis,Stabilized return on total cost,Stabilized NOI ÷ total project cost,Excel,Acquisition Model / Closing Docs; Business Plan / Budget,,,Acquisition Underwriting; Business Plan,Yield on Cost,Is further capital justified?; Is the asset worth its basis?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
mark_to_market_basis_gap,Mark-to-Market Basis Gap,Investment Basis,Difference between actual basis and current market value,Market Value - Total Basis,Excel,Acquisition Model / Closing Docs; Business Plan / Budget,,,Acquisition Underwriting; Business Plan,Mark-to-Market Basis Gap; Basis; Total Basis; Cost Basis,Is the income durable?; Is risk increasing or decreasing over time?; Is the asset worth its basis?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
potential_gross_revenue_pgr_potential_gross_income_pgi,Potential Gross Revenue (PGR) / Potential Gross Income (PGI),Operating Performance,Revenue if all space were leased at scheduled rent plus recoveries and other ...,Scheduled base rent + reimbursements + parking + misc income at full occupancy,PDF,Financial Statement / GL,,,Actuals,Potential Gross Revenue (PGR) / Potential Gross Income (PGI); Potential Gross Revenue / Potential Gross Income; Potential Gross Revenue (PGR); Potential Gross Income (PGI); Revenue; Total Revenue; Total Operating Revenue; Effective Gross Revenue; EGI,Are we performing vs plan?; Is risk increasing or decreasing over time?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
vacancy_loss,Vacancy Loss,Operating Performance,Revenue lost from vacant space,Market rent or scheduled rent on vacant units/spaces,PDF,Financial Statement / GL,,,Actuals,Vacancy Loss,Are we performing vs plan?; Is risk increasing or decreasing over time?,Medium,No,Calculate from extracted inputs where direct value is unavailable.
credit_loss_bad_debt,Credit Loss / Bad Debt,Operating Performance,Revenue billed but not collected,Write-offs or reserve assumption,PDF,Financial Statement / GL; Loan / Debt Docs,,,Actuals; Debt,Credit Loss / Bad Debt; Credit Loss; Bad Debt; Debt; Loan; Loan Amount; Debt Balance,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the income durable?; Is the leverage healthy?,Medium,No,Calculate from extracted inputs where direct value is unavailable.
effective_gross_revenue_egi,Effective Gross Revenue / EGI,Operating Performance,Revenue actually expected to be collected,PGI - Vacancy - Credit Loss + other collected income,PDF,Financial Statement / GL,,,Actuals,Effective Gross Revenue / EGI; EGR; Effective Gross Income; Total Operating Revenue; Effective Gross Revenue; EGI; Revenue; Total Revenue,Are we performing vs plan?; Is risk increasing or decreasing over time?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
operating_expenses,Operating Expenses,Operating Performance,Costs to run property excluding capital and debt,Payroll + utilities + repairs + taxes + insurance + management fee + admin,PDF,Financial Statement / GL,,,Actuals,Operating Expenses; OpEx; Total Operating Expenses; Operating Expense; Expenses,Are we performing vs plan?; Is risk increasing or decreasing over time?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
recoveries_cam_reimbursement,Recoveries / CAM Reimbursement,Operating Performance,Amount reimbursed by tenants,Tenant reimbursement calc per lease,PDF,Financial Statement / GL,,,Actuals,Recoveries / CAM Reimbursement; Recoveries; CAM Reimbursement,Are we performing vs plan?; Is risk increasing or decreasing over time?,Medium,No,Search by metric aliases; validate source and period.
net_operating_income_noi,Net Operating Income (NOI),Operating Performance,Core operating earnings before capex and debt,EGI - Operating Expenses,PDF,Financial Statement / GL,,,Actuals,Net Operating Income (NOI); NOI; Net Operating Income; Revenue; Total Revenue; Total Operating Revenue; Effective Gross Revenue; EGI,Are we performing vs plan?; Is risk increasing or decreasing over time?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
noi_margin,NOI Margin,Operating Performance,Efficiency of operations,NOI ÷ EGI,Excel,Source File,,,General,NOI Margin; NOI; Net Operating Income,Are we performing vs plan?; Is risk increasing or decreasing over time?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
leasing_costs,Leasing Costs,Operating Performance,Tenant improvements + leasing commissions + legal for leases,Sum of leasing-related costs in period,PDF,Financial Statement / GL; Rent Roll / Lease Data,,,Actuals; Leasing / Rent Roll,Leasing Costs,Are we performing vs plan?; Is risk increasing or decreasing over time?,Medium,No,Calculate from extracted inputs where direct value is unavailable.
capital_expenditures,Capital Expenditures,Operating Performance,Non-recurring or strategic capital spend,CapEx paid in period,PDF,Financial Statement / GL; CapEx Tracker,,,Actuals; CapEx,Capital Expenditures; CapEx,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is further capital justified?,Low,No,Search by metric aliases; validate source and period.
free_cash_flow_before_debt_service,Free Cash Flow Before Debt Service,Operating Performance,Cash available before financing,NOI - Leasing Costs - CapEx - reserves,PDF,Financial Statement / GL; Loan / Debt Docs,,,Actuals; Debt,Free Cash Flow Before Debt Service; Debt Service; Debt Payment; Loan Payment; Debt; Loan; Loan Amount; Debt Balance,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the leverage healthy?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
debt_service,Debt Service,Operating Performance,Scheduled principal + interest,Per loan amortization / IO schedule,PDF,Financial Statement / GL; Loan / Debt Docs,,,Actuals; Debt,Debt Service; Debt Payment; Loan Payment; Debt; Loan; Loan Amount; Debt Balance,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the leverage healthy?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
cash_flow_after_debt_service,Cash Flow After Debt Service,Operating Performance,Residual cash after financing costs,NOI - leasing/capex reserve - debt service,PDF,Financial Statement / GL; Loan / Debt Docs,,,Actuals; Debt,Cash Flow After Debt Service; Debt Service; Debt Payment; Loan Payment; Debt; Loan; Loan Amount; Debt Balance,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the leverage healthy?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
cash_available_for_distribution,Cash Available for Distribution,Operating Performance,True distributable cash,Cash flow after debt service - reserves - fund level obligations,PDF,Financial Statement / GL,,,Actuals,Cash Available for Distribution,Are we performing vs plan?; Is risk increasing or decreasing over time?,Low,No,Calculate from extracted inputs where direct value is unavailable.
noi_growth,NOI Growth,Operating Performance,Change in NOI over time,Current NOI - prior NOI; or % change,Excel,Source File,,,General,NOI Growth; NOI; Net Operating Income,Are we performing vs plan?; Is risk increasing or decreasing over time?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
same_store_noi_growth,Same-Store NOI Growth,Operating Performance,Growth excluding acquisitions/dispositions/development disruptions,Current stabilized comparable NOI vs prior period,Excel,Source File,,,General,Same-Store NOI Growth; NOI; Net Operating Income,Are we performing vs plan?; Is risk increasing or decreasing over time?,High,Yes,Search by metric aliases; validate source and period.
physical_occupancy,Physical Occupancy,Leasing & Income Durability,Space occupied,Occupied SF ÷ total leasable SF,PDF,Business Plan / Budget; Rent Roll / Lease Data,,,Business Plan; Leasing / Rent Roll,Physical Occupancy; Occupancy; Occupied %; Economic Occupancy; Occupied; Vacancy,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the income durable?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
economic_occupancy,Economic Occupancy,Leasing & Income Durability,Revenue occupancy,Collected / scheduled rent ÷ full market or scheduled rent,PDF,Business Plan / Budget; Rent Roll / Lease Data,,,Business Plan; Leasing / Rent Roll,Economic Occupancy; Occupancy; Occupied %; Physical Occupancy; Occupied; Vacancy,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the income durable?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
leased_occupancy,Leased Occupancy,Leasing & Income Durability,Space leased including not yet occupied,Leased SF ÷ total leasable SF,PDF,Business Plan / Budget; Rent Roll / Lease Data,,,Business Plan; Leasing / Rent Roll,Leased Occupancy; Occupancy; Occupied %; Physical Occupancy; Economic Occupancy; Occupied; Vacancy,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the income durable?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
vacancy_rate,Vacancy Rate,Leasing & Income Durability,Unleased space share,Vacant SF ÷ total leasable SF,PDF,Business Plan / Budget; Rent Roll / Lease Data,,,Business Plan; Leasing / Rent Roll,Vacancy Rate,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the income durable?,Medium,No,Calculate from extracted inputs where direct value is unavailable.
walt_wale,WALT / WALE,Leasing & Income Durability,Weighted average remaining lease term,Σ(rent or area weight × remaining term) ÷ total weight,Excel,Business Plan / Budget; Rent Roll / Lease Data,,,Business Plan; Leasing / Rent Roll,WALT / WALE; WALT; WALE; Weighted Average Lease Term,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the income durable?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
rollover_by_year,Rollover by Year,Leasing & Income Durability,Lease expiration concentration,Sum of expiring rent or area by year,PDF,Business Plan / Budget; Rent Roll / Lease Data,,,Business Plan; Leasing / Rent Roll,Rollover by Year,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the income durable?,Medium,No,Search by metric aliases; validate source and period.
top_tenant_concentration,Top Tenant Concentration,Leasing & Income Durability,Exposure to major tenants,Largest tenant rent ÷ total rent; top 5 / top 10 likewise,Excel,Rent Roll / Lease Data; CapEx Tracker,,,Business Plan; Leasing / Rent Roll,Top Tenant Concentration,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the income durable?,Medium,No,Calculate from extracted inputs where direct value is unavailable.
tenant_industry_concentration,Tenant Industry Concentration,Leasing & Income Durability,Exposure by trade sector,Rent by industry ÷ total rent,Excel,Rent Roll / Lease Data; CapEx Tracker,,,Business Plan; Leasing / Rent Roll,Tenant Industry Concentration,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the income durable?,Medium,No,Calculate from extracted inputs where direct value is unavailable.
lease_type_mix,Lease Type Mix,Leasing & Income Durability,Gross / modified gross / NNN mix,By leased area or rent,Excel,Rent Roll / Lease Data; CapEx Tracker,,,Business Plan; Leasing / Rent Roll,Lease Type Mix,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the income durable?,Medium,No,Search by metric aliases; validate source and period.
in_place_rent,In-place Rent,Leasing & Income Durability,Current contractual base rent,From rent roll,PDF,Rent Roll / Lease Data,,,Business Plan; Leasing / Rent Roll,In-place Rent,Are we performing vs plan?; Is risk increasing or decreasing over time?,Medium,No,Direct extract from source document.
market_rent,Market Rent,Leasing & Income Durability,Current achievable rent,Broker comps / market study,PDF,Rent Roll / Lease Data,,,Business Plan; Leasing / Rent Roll,Market Rent,Are we performing vs plan?; Is risk increasing or decreasing over time?,Medium,No,Calculate from extracted inputs where direct value is unavailable.
mark_to_market,Mark-to-Market,Leasing & Income Durability,Embedded upside/downside,Market Rent - In-place Rent,Excel,Rent Roll / Lease Data; CapEx Tracker,,,Business Plan; Leasing / Rent Roll,Mark-to-Market,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the income durable?,Medium,No,Calculate from extracted inputs where direct value is unavailable.
new_lease_rent_spread,New Lease Rent Spread,Leasing & Income Durability,Pricing on new deals,(New Rent - prior/market rent) ÷ prior/market rent,Excel,Rent Roll / Lease Data,,,Business Plan; Leasing / Rent Roll,New Lease Rent Spread,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the income durable?,Medium,No,Calculate from extracted inputs where direct value is unavailable.
renewal_spread,Renewal Spread,Leasing & Income Durability,Change on renewals,(Renewal Rent - prior rent) ÷ prior rent,Excel,Rent Roll / Lease Data,,,Business Plan; Leasing / Rent Roll,Renewal Spread,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the income durable?,Medium,No,Calculate from extracted inputs where direct value is unavailable.
ti_per_sf_lc_per_sf,TI per SF / LC per SF,Leasing & Income Durability,Cost to lease space,Total TI or LC ÷ leased SF,PDF/Excel,Financial Statement / GL; Rent Roll / Lease Data,,,Actuals; Leasing / Rent Roll,TI per SF / LC per SF; TI per SF; LC per SF,Are we performing vs plan?; Is risk increasing or decreasing over time?,Medium,No,Calculate from extracted inputs where direct value is unavailable.
lease_up_velocity,Lease-up Velocity,Leasing & Income Durability,Speed of absorption,SF leased / month or units leased / month,Excel,Rent Roll / Lease Data,,,Business Plan; Leasing / Rent Roll,Lease-up Velocity,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the income durable?,Medium,No,Calculate from extracted inputs where direct value is unavailable.
downtime,Downtime,Leasing & Income Durability,Time between occupancy events,Months vacant between leases,Excel,Rent Roll / Lease Data,,,Business Plan; Leasing / Rent Roll,Downtime,Are we performing vs plan?; Is risk increasing or decreasing over time?,Medium,No,Search by metric aliases; validate source and period.
net_effective_rent,Net Effective Rent,Leasing & Income Durability,Rent after concessions and leasing costs,"PV of rent net of free rent, TI, LC over term",Excel,Rent Roll / Lease Data,,,Business Plan; Leasing / Rent Roll,Net Effective Rent,Are we performing vs plan?; Is risk increasing or decreasing over time?,Medium,No,Search by metric aliases; validate source and period.
retention_rate,Retention Rate,Leasing & Income Durability,Share of tenants renewed,Renewed tenants ÷ expiring tenants,Excel,Rent Roll / Lease Data,,,Business Plan; Leasing / Rent Roll,Retention Rate,Are we performing vs plan?; Is risk increasing or decreasing over time?,Medium,No,Calculate from extracted inputs where direct value is unavailable.
tenant_delinquency_rate,Tenant Delinquency Rate,Leasing & Income Durability,Collection risk,Delinquent rent ÷ billed rent,Excel,Financial Statement / GL; Rent Roll / Lease Data,,,Actuals; Leasing / Rent Roll,Tenant Delinquency Rate,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the income durable?,Medium,No,Calculate from extracted inputs where direct value is unavailable.
sales_per_sf,Sales per SF,Leasing & Income Durability,Tenant productivity,Tenant reported sales ÷ leased SF,PDF / Excel,Rent Roll / Lease Data,,,Leasing / Rent Roll,Sales per SF,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the income durable?,Medium,No,Calculate from extracted inputs where direct value is unavailable.
occupancy_cost_ratio_occupancy_ratio,Occupancy Cost Ratio / Occupancy Ratio,Leasing & Income Durability,Affordability of rent to tenant,Total occupancy cost ÷ tenant sales,PDF / Excel,Rent Roll / Lease Data,,,Leasing / Rent Roll,Occupancy Cost Ratio / Occupancy Ratio; Occupancy; Occupied %; Physical Occupancy; Economic Occupancy; Occupancy Cost Ratio; Occupancy Ratio; Occupied; Vacancy,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the income durable?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
rent_to_sales_ratio_health_ratio,Rent-to-Sales Ratio / Health Ratio,Leasing & Income Durability,Retail tenant health proxy,Base rent + CAM + taxes + insurance ÷ sales,PDF / Excel,Rent Roll / Lease Data,,,Leasing / Rent Roll,Rent-to-Sales Ratio / Health Ratio; Rent-to-Sales Ratio; Health Ratio,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the income durable?,Medium,No,Calculate from extracted inputs where direct value is unavailable.
tenant_credit_rating_credit_quality,Tenant Credit Rating / Credit Quality,Leasing & Income Durability,Creditworthiness,External rating or internal score,PDF,Source File,,,Leasing / Rent Roll,Tenant Credit Rating / Credit Quality; Tenant Credit Rating; Credit Quality,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the income durable?,Medium,No,Search by metric aliases; validate source and period.
guaranty_coverage,Guaranty Coverage,Leasing & Income Durability,Strength of lease support,Guarantor net worth / obligations,PDF,Rent Roll / Lease Data,,,Leasing / Rent Roll,Guaranty Coverage,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the income durable?,Medium,No,Calculate from extracted inputs where direct value is unavailable.
unit_level_profitability,Unit-level profitability,Leasing & Income Durability,Tenant/store profitability where available,Store EBITDA or contribution margin,PDF,Source File,,,Leasing / Rent Roll,Unit-level profitability,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the income durable?,Medium,No,Search by metric aliases; validate source and period.
approved_capex_budget,Approved CapEx Budget,CapEx & Capital Allocation,Total approved project spend,From business plan,PDF,Acquisition Model / Closing Docs; Business Plan / Budget; Loan / Debt Docs; CapEx Tracker,,,Business Plan; Debt; CapEx,Approved CapEx Budget; CapEx; Capital Expenditure; Capital Costs,Is further capital justified?,High,Yes,Direct extract from source document.
capex_spent_to_date,CapEx Spent to Date,CapEx & Capital Allocation,Actual spend,Cumulative paid invoices,PDF / Excel,Financial Statement / GL; CapEx Tracker,,,Actuals; CapEx,CapEx Spent to Date; CapEx; Capital Expenditure; Capital Costs,Is further capital justified?,High,Yes,Search by metric aliases; validate source and period.
capex_variance,CapEx Variance,CapEx & Capital Allocation,Over/under budget,Actual - budget,PDF / Excel,Business Plan / Budget; Financial Statement / GL; CapEx Tracker,,,Business Plan; Actuals; CapEx,CapEx Variance; CapEx; Capital Expenditure; Capital Costs,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is further capital justified?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
capex_remaining,CapEx Remaining,CapEx & Capital Allocation,Future committed spend,Budget - actual spent,PDF / Excel,Financial Statement / GL; Loan / Debt Docs; CapEx Tracker,,,Actuals; Debt; CapEx,CapEx Remaining; CapEx; Capital Expenditure; Capital Costs,Is further capital justified?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
cost_to_complete,Cost to Complete,CapEx & Capital Allocation,All future estimated spend required,Updated project estimate,PDF / Excel,CapEx Tracker,,,CapEx,Cost to Complete,Is further capital justified?,High,Yes,Search by metric aliases; validate source and period.
leasing_pipeline_value,Leasing Pipeline Value,CapEx & Capital Allocation,Potential NOI from active negotiations,Sum of projected signed deals,PDF / Excel,Rent Roll / Lease Data; CapEx Tracker,,,Leasing / Rent Roll; CapEx,Leasing Pipeline Value,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is further capital justified?; Is the asset worth its basis?,High,Yes,Search by metric aliases; validate source and period.
incremental_noi_from_business_plan,Incremental NOI from Business Plan,CapEx & Capital Allocation,Expected NOI gain from initiatives,Stabilized NOI - in-place NOI,PDF / Excel,Business Plan / Budget; Financial Statement / GL; CapEx Tracker,,,Business Plan; Actuals; CapEx,Incremental NOI from Business Plan; NOI; Net Operating Income,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is further capital justified?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
roi_on_capex,ROI on CapEx,CapEx & Capital Allocation,Return from capital project (can be Ex-Ante or Ex-Post),Incremental NOI ÷ project cost,PDF / Excel,Business Plan / Budget; Financial Statement / GL; CapEx Tracker,,,Business Plan; Actuals; CapEx,ROI on CapEx; CapEx; Capital Expenditure; Capital Costs,Is further capital justified?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
yield_on_incremental_cost,Yield on Incremental Cost,CapEx & Capital Allocation,Similar to above for specific project,Incremental NOI ÷ total capital deployed to date (incremental CapEx),PDF / Excel,Business Plan / Budget; Financial Statement / GL; CapEx Tracker,,,Business Plan; Actuals; CapEx,Yield on Incremental Cost,Is further capital justified?; Is the asset worth its basis?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
execution_gap,Execution Gap,CapEx & Capital Allocation,Actual vs Projected gap,Realized CapEX ROI (or YoC) – Projected CapEx ROI (or YoC),PDF / Excel,Business Plan / Budget; Financial Statement / GL; CapEx Tracker,,,Business Plan; Actuals; CapEx,Execution Gap,Is further capital justified?,High,Yes,Search by metric aliases; validate source and period.
business_plan_completion,Business Plan Completion %,CapEx & Capital Allocation,Execution progress,Completed milestones ÷ total,Excel,Business Plan / Budget; CapEx Tracker,,,Business Plan; CapEx,Business Plan Completion %,Is further capital justified?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
stabilization_progress,Stabilization Progress,CapEx & Capital Allocation,Progress toward target occupancy / NOI,Current metric ÷ target metric,PDF / Excel,Business Plan / Budget; Financial Statement / GL; Rent Roll / Lease Data; CapEx Tracker,,,Business Plan; Actuals; Leasing / Rent Roll; CapEx,Stabilization Progress,Is further capital justified?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
lease_up_cost_per_occupied_sf_unit,Lease-up Cost per Occupied SF/Unit,CapEx & Capital Allocation,Efficiency of lease-up,Lease-up spend ÷ absorbed SF or units,PDF / Excel,Financial Statement / GL; Rent Roll / Lease Data; CapEx Tracker,,,Actuals; Leasing / Rent Roll; CapEx,Lease-up Cost per Occupied SF/Unit; Lease-up Cost per Occupied SF; Unit,Is the income durable?; Is risk increasing or decreasing over time?; Is further capital justified?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
loan_balance,Loan Balance,Debt & Leverage,Current outstanding debt,From amortization / servicing statement,PDF,Loan / Debt Docs; CapEx Tracker,,,Debt; CapEx,Loan Balance; Debt Balance; Debt; Loan; Loan Amount,Is the leverage healthy?; Is risk increasing or decreasing over time?; Is further capital justified?,Low,No,Direct extract from source document.
original_ltv,Original LTV,Debt & Leverage,Leverage at close,Original Loan ÷ value or cost,PDF,Acquisition Model / Closing Docs; Loan / Debt Docs; CapEx Tracker,,,Debt; CapEx,Original LTV; LTV; Loan to Value; Loan-to-Value,Is the leverage healthy?; Is risk increasing or decreasing over time?; Is further capital justified?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
current_ltv,Current LTV,Debt & Leverage,Leverage today,Current Loan Balance ÷ current value,PDF,Loan / Debt Docs; CapEx Tracker,,,Debt; CapEx,Current LTV; LTV; Loan to Value; Loan-to-Value,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the leverage healthy?; Is further capital justified?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
ltc,LTC,Debt & Leverage,Loan-to-cost,Loan Amount ÷ total project cost,PDF,Acquisition Model / Closing Docs; Loan / Debt Docs; CapEx Tracker,,,Acquisition Underwriting; Debt; CapEx,LTC,Is the leverage healthy?; Is risk increasing or decreasing over time?; Is further capital justified?,Low,No,Calculate from extracted inputs where direct value is unavailable.
debt_yield,Debt Yield,Debt & Leverage,Cash return to lender on current balance,NOI ÷ current loan balance,PDF,Financial Statement / GL; Loan / Debt Docs; CapEx Tracker,,,Actuals; Debt; CapEx,Debt Yield; Debt; Loan; Loan Amount; Debt Balance,Is the leverage healthy?; Is risk increasing or decreasing over time?; Is further capital justified?; Is the asset worth its basis?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
dscr_debt_coverage_ratio,DSCR / Debt Coverage Ratio,Debt & Leverage,Debt service coverage,NOI or CFADS ÷ debt service,PDF,Financial Statement / GL; Loan / Debt Docs; CapEx Tracker,,,Actuals; Debt; CapEx,DSCR / Debt Coverage Ratio; DSCR; Debt Service Coverage Ratio; Debt Coverage; Debt Coverage Ratio; Debt; Loan; Loan Amount; Debt Balance,Is the leverage healthy?; Is risk increasing or decreasing over time?; Is further capital justified?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
interest_rate,Interest Rate,Debt & Leverage,Cost of debt,Index + spread or fixed coupon,"PDF, CSV",Loan / Debt Docs; CapEx Tracker,,,Debt; CapEx,Interest Rate,Is the leverage healthy?; Is risk increasing or decreasing over time?; Is further capital justified?,Low,No,Calculate from extracted inputs where direct value is unavailable.
debt_service_constant,Debt Service Constant,Debt & Leverage,Annual debt service ÷ loan amount,Based on amortization,PDF,Loan / Debt Docs; CapEx Tracker,,,Debt; CapEx,Debt Service Constant; Debt Service; Debt Payment; Loan Payment; Debt; Loan; Loan Amount; Debt Balance,Is the leverage healthy?; Is risk increasing or decreasing over time?; Is further capital justified?,High,Yes,Search by metric aliases; validate source and period.
interest_only_period_remaining,Interest-Only Period Remaining,Debt & Leverage,Remaining IO protection,Loan docs / schedule,PDF,Loan / Debt Docs; CapEx Tracker,,,Debt; CapEx,Interest-Only Period Remaining,Is the leverage healthy?; Is risk increasing or decreasing over time?; Is further capital justified?,Low,No,Calculate from extracted inputs where direct value is unavailable.
loan_maturity,Loan Maturity,Debt & Leverage,Time left to refinance or exit,Maturity date - today,PDF,Loan / Debt Docs; CapEx Tracker,,,Debt; CapEx,Loan Maturity; Debt; Loan; Loan Amount; Debt Balance,Is the leverage healthy?; Is risk increasing or decreasing over time?; Is further capital justified?,Low,No,Calculate from extracted inputs where direct value is unavailable.
