metric_id,metric_name,category,definition,value,source_file,sheet,label_cell,value_cell,matched_alias,confidence,match_method,source_layer
potential_gross_revenue_pgr_potential_gross_income_pgi,Potential Gross Revenue (PGR) / Potential Gross Income (PGI),Operating Performance,Revenue if all space were leased at scheduled rent plus recoveries and other ...,0.0,Retail-Acquisition Underwriting.xlsx,Proforma,B21,F21,Revenue,high,right,acquisition_underwriting
credit_loss_bad_debt,Credit Loss / Bad Debt,Operating Performance,Revenue billed but not collected,0.0,Financial Statement 2022.xlsx,2022,C103,D103,Bad Debt,high,right,actuals_2022
credit_loss_bad_debt,Credit Loss / Bad Debt,Operating Performance,Revenue billed but not collected,13978444.09998864,Retail-Business Plan 2022.xlsx,Assumption,F4,G4,Loan,high,right,business_plan
credit_loss_bad_debt,Credit Loss / Bad Debt,Operating Performance,Revenue billed but not collected,0.0,Financial Statement 2021.xlsx,2021,C114,D114,Bad Debt,high,right,actuals_2021
credit_loss_bad_debt,Credit Loss / Bad Debt,Operating Performance,Revenue billed but not collected,13978444.09998864,Retail-Acquisition Underwriting.xlsx,Assumption,F4,G4,Loan,high,right,acquisition_underwriting
effective_gross_revenue_egi,Effective Gross Revenue / EGI,Operating Performance,Revenue actually expected to be collected,153984.32,Financial Statement 2022.xlsx,2022,C17,D17,Revenue,high,right,actuals_2022
effective_gross_revenue_egi,Effective Gross Revenue / EGI,Operating Performance,Revenue actually expected to be collected,0.0,Retail-Business Plan 2022.xlsx,Proforma,B23,F23,Revenue,high,right,business_plan
effective_gross_revenue_egi,Effective Gross Revenue / EGI,Operating Performance,Revenue actually expected to be collected,122712.83,Financial Statement 2021.xlsx,2021,C17,D17,Revenue,high,right,actuals_2021
effective_gross_revenue_egi,Effective Gross Revenue / EGI,Operating Performance,Revenue actually expected to be collected,0.0,Retail-Acquisition Underwriting.xlsx,Proforma,B21,F21,Revenue,high,right,acquisition_underwriting
operating_expenses,Operating Expenses,Operating Performance,Costs to run property excluding capital and debt,91067.56,Financial Statement 2022.xlsx,2022,C124,D124,Operating Expenses,high,right,actuals_2022
operating_expenses,Operating Expenses,Operating Performance,Costs to run property excluding capital and debt,0.0,Retail-Business Plan 2022.xlsx,Proforma,B41,F41,Operating Expenses,high,right,business_plan
operating_expenses,Operating Expenses,Operating Performance,Costs to run property excluding capital and debt,82596.95,Financial Statement 2021.xlsx,2021,C147,D147,Operating Expenses,high,right,actuals_2021
operating_expenses,Operating Expenses,Operating Performance,Costs to run property excluding capital and debt,0.0,Retail-Acquisition Underwriting.xlsx,Proforma,B37,F37,Operating Expenses,high,right,acquisition_underwriting
recoveries_cam_reimbursement,Recoveries / CAM Reimbursement,Operating Performance,Amount reimbursed by tenants,1725.85,Retail-Business Plan 2022.xlsx,2021 T12,C26,D26,Recoveries,high,right,business_plan
recoveries_cam_reimbursement,Recoveries / CAM Reimbursement,Operating Performance,Amount reimbursed by tenants,0.0,Financial Statement 2021.xlsx,2021,C25,D25,Recoveries,high,right,actuals_2021
net_operating_income_noi,Net Operating Income (NOI),Operating Performance,Core operating earnings before capex and debt,153984.32,Financial Statement 2022.xlsx,2022,C17,D17,Revenue,high,right,actuals_2022
net_operating_income_noi,Net Operating Income (NOI),Operating Performance,Core operating earnings before capex and debt,1466676.0000000002,Retail-Business Plan 2022.xlsx,Assumption,B7,D7,NOI,high,right,business_plan
net_operating_income_noi,Net Operating Income (NOI),Operating Performance,Core operating earnings before capex and debt,122712.83,Financial Statement 2021.xlsx,2021,C17,D17,Revenue,high,right,actuals_2021
net_operating_income_noi,Net Operating Income (NOI),Operating Performance,Core operating earnings before capex and debt,1466676.0000000002,Retail-Acquisition Underwriting.xlsx,Assumption,B7,D7,NOI,high,right,acquisition_underwriting
noi_margin,NOI Margin,Operating Performance,Efficiency of operations,182246.38,Financial Statement 2022.xlsx,2022,C125,D125,Net Operating Income,high,right,actuals_2022
noi_margin,NOI Margin,Operating Performance,Efficiency of operations,1466676.0000000002,Retail-Business Plan 2022.xlsx,Assumption,B7,D7,NOI,high,right,business_plan
noi_margin,NOI Margin,Operating Performance,Efficiency of operations,105672.53,Financial Statement 2021.xlsx,2021,C148,D148,Net Operating Income,high,right,actuals_2021
noi_margin,NOI Margin,Operating Performance,Efficiency of operations,1466676.0000000002,Retail-Acquisition Underwriting.xlsx,Assumption,B7,D7,NOI,high,right,acquisition_underwriting
capital_expenditures,Capital Expenditures,Operating Performance,Non-recurring or strategic capital spend,0.0,Retail-Business Plan 2022.xlsx,Assumption,F13,G13,CapEx,high,right,business_plan
capital_expenditures,Capital Expenditures,Operating Performance,Non-recurring or strategic capital spend,4080225.0543762296,Retail-Acquisition Underwriting.xlsx,Assumption,B10,D10,CapEx,high,right,acquisition_underwriting
free_cash_flow_before_debt_service,Free Cash Flow Before Debt Service,Operating Performance,Cash available before financing,0.0,Financial Statement 2022.xlsx,2022,C103,D103,Debt,high,right,actuals_2022
free_cash_flow_before_debt_service,Free Cash Flow Before Debt Service,Operating Performance,Cash available before financing,13978444.09998864,Retail-Business Plan 2022.xlsx,Assumption,F4,G4,Loan,high,right,business_plan
free_cash_flow_before_debt_service,Free Cash Flow Before Debt Service,Operating Performance,Cash available before financing,0.0,Financial Statement 2021.xlsx,2021,C114,D114,Debt,high,right,actuals_2021
free_cash_flow_before_debt_service,Free Cash Flow Before Debt Service,Operating Performance,Cash available before financing,13978444.09998864,Retail-Acquisition Underwriting.xlsx,Assumption,F4,G4,Loan,high,right,acquisition_underwriting
debt_service,Debt Service,Operating Performance,Scheduled principal + interest,0.0,Financial Statement 2022.xlsx,2022,C103,D103,Debt,high,right,actuals_2022
debt_service,Debt Service,Operating Performance,Scheduled principal + interest,13978444.09998864,Retail-Business Plan 2022.xlsx,Assumption,F4,G4,Loan,high,right,business_plan
debt_service,Debt Service,Operating Performance,Scheduled principal + interest,0.0,Financial Statement 2021.xlsx,2021,C114,D114,Debt,high,right,actuals_2021
debt_service,Debt Service,Operating Performance,Scheduled principal + interest,13978444.09998864,Retail-Acquisition Underwriting.xlsx,Assumption,F4,G4,Loan,high,right,acquisition_underwriting
cash_flow_after_debt_service,Cash Flow After Debt Service,Operating Performance,Residual cash after financing costs,0.0,Financial Statement 2022.xlsx,2022,C103,D103,Debt,high,right,actuals_2022
cash_flow_after_debt_service,Cash Flow After Debt Service,Operating Performance,Residual cash after financing costs,13978444.09998864,Retail-Business Plan 2022.xlsx,Assumption,F4,G4,Loan,high,right,business_plan
cash_flow_after_debt_service,Cash Flow After Debt Service,Operating Performance,Residual cash after financing costs,0.0,Financial Statement 2021.xlsx,2021,C114,D114,Debt,high,right,actuals_2021
cash_flow_after_debt_service,Cash Flow After Debt Service,Operating Performance,Residual cash after financing costs,13978444.09998864,Retail-Acquisition Underwriting.xlsx,Assumption,F4,G4,Loan,high,right,acquisition_underwriting
noi_growth,NOI Growth,Operating Performance,Change in NOI over time,182246.38,Financial Statement 2022.xlsx,2022,C125,D125,Net Operating Income,high,right,actuals_2022
noi_growth,NOI Growth,Operating Performance,Change in NOI over time,1466676.0000000002,Retail-Business Plan 2022.xlsx,Assumption,B7,D7,NOI,high,right,business_plan
noi_growth,NOI Growth,Operating Performance,Change in NOI over time,105672.53,Financial Statement 2021.xlsx,2021,C148,D148,Net Operating Income,high,right,actuals_2021
noi_growth,NOI Growth,Operating Performance,Change in NOI over time,1466676.0000000002,Retail-Acquisition Underwriting.xlsx,Assumption,B7,D7,NOI,high,right,acquisition_underwriting
same_store_noi_growth,Same-Store NOI Growth,Operating Performance,Growth excluding acquisitions/dispositions/development disruptions,182246.38,Financial Statement 2022.xlsx,2022,C125,D125,Net Operating Income,high,right,actuals_2022
same_store_noi_growth,Same-Store NOI Growth,Operating Performance,Growth excluding acquisitions/dispositions/development disruptions,1466676.0000000002,Retail-Business Plan 2022.xlsx,Assumption,B7,D7,NOI,high,right,business_plan
same_store_noi_growth,Same-Store NOI Growth,Operating Performance,Growth excluding acquisitions/dispositions/development disruptions,105672.53,Financial Statement 2021.xlsx,2021,C148,D148,Net Operating Income,high,right,actuals_2021
same_store_noi_growth,Same-Store NOI Growth,Operating Performance,Growth excluding acquisitions/dispositions/development disruptions,1466676.0000000002,Retail-Acquisition Underwriting.xlsx,Assumption,B7,D7,NOI,high,right,acquisition_underwriting
physical_occupancy,Physical Occupancy,Leasing & Income Durability,Space occupied,0.0,Retail-Business Plan 2022.xlsx,Proforma,B18,F18,Vacancy,high,right,business_plan
physical_occupancy,Physical Occupancy,Leasing & Income Durability,Space occupied,0.0,Retail-Acquisition Underwriting.xlsx,Proforma,B18,F18,Vacancy,high,right,acquisition_underwriting
economic_occupancy,Economic Occupancy,Leasing & Income Durability,Revenue occupancy,0.0,Retail-Business Plan 2022.xlsx,Proforma,B18,F18,Vacancy,high,right,business_plan
economic_occupancy,Economic Occupancy,Leasing & Income Durability,Revenue occupancy,0.0,Retail-Acquisition Underwriting.xlsx,Proforma,B18,F18,Vacancy,high,right,acquisition_underwriting
leased_occupancy,Leased Occupancy,Leasing & Income Durability,Space leased including not yet occupied,0.0,Retail-Business Plan 2022.xlsx,Proforma,B18,F18,Vacancy,high,right,business_plan
leased_occupancy,Leased Occupancy,Leasing & Income Durability,Space leased including not yet occupied,0.0,Retail-Acquisition Underwriting.xlsx,Proforma,B18,F18,Vacancy,high,right,acquisition_underwriting
occupancy_cost_ratio_occupancy_ratio,Occupancy Cost Ratio / Occupancy Ratio,Leasing & Income Durability,Affordability of rent to tenant,0.0,Retail-Business Plan 2022.xlsx,Proforma,B18,F18,Vacancy,high,right,business_plan
occupancy_cost_ratio_occupancy_ratio,Occupancy Cost Ratio / Occupancy Ratio,Leasing & Income Durability,Affordability of rent to tenant,0.0,Retail-Acquisition Underwriting.xlsx,Proforma,B18,F18,Vacancy,high,right,acquisition_underwriting
approved_capex_budget,Approved CapEx Budget,CapEx & Capital Allocation,Total approved project spend,0.0,Retail-Business Plan 2022.xlsx,Assumption,F13,G13,CapEx,high,right,business_plan
approved_capex_budget,Approved CapEx Budget,CapEx & Capital Allocation,Total approved project spend,4080225.0543762296,Retail-Acquisition Underwriting.xlsx,Assumption,B10,D10,CapEx,high,right,acquisition_underwriting
capex_spent_to_date,CapEx Spent to Date,CapEx & Capital Allocation,Actual spend,0.0,Retail-Business Plan 2022.xlsx,Assumption,F13,G13,CapEx,high,right,business_plan
capex_spent_to_date,CapEx Spent to Date,CapEx & Capital Allocation,Actual spend,4080225.0543762296,Retail-Acquisition Underwriting.xlsx,Assumption,B10,D10,CapEx,high,right,acquisition_underwriting
capex_variance,CapEx Variance,CapEx & Capital Allocation,Over/under budget,0.0,Retail-Business Plan 2022.xlsx,Assumption,F13,G13,CapEx,high,right,business_plan
capex_variance,CapEx Variance,CapEx & Capital Allocation,Over/under budget,4080225.0543762296,Retail-Acquisition Underwriting.xlsx,Assumption,B10,D10,CapEx,high,right,acquisition_underwriting
capex_remaining,CapEx Remaining,CapEx & Capital Allocation,Future committed spend,0.0,Retail-Business Plan 2022.xlsx,Assumption,F13,G13,CapEx,high,right,business_plan
capex_remaining,CapEx Remaining,CapEx & Capital Allocation,Future committed spend,4080225.0543762296,Retail-Acquisition Underwriting.xlsx,Assumption,B10,D10,CapEx,high,right,acquisition_underwriting
incremental_noi_from_business_plan,Incremental NOI from Business Plan,CapEx & Capital Allocation,Expected NOI gain from initiatives,182246.38,Financial Statement 2022.xlsx,2022,C125,D125,Net Operating Income,high,right,actuals_2022
incremental_noi_from_business_plan,Incremental NOI from Business Plan,CapEx & Capital Allocation,Expected NOI gain from initiatives,1466676.0000000002,Retail-Business Plan 2022.xlsx,Assumption,B7,D7,NOI,high,right,business_plan
incremental_noi_from_business_plan,Incremental NOI from Business Plan,CapEx & Capital Allocation,Expected NOI gain from initiatives,105672.53,Financial Statement 2021.xlsx,2021,C148,D148,Net Operating Income,high,right,actuals_2021
incremental_noi_from_business_plan,Incremental NOI from Business Plan,CapEx & Capital Allocation,Expected NOI gain from initiatives,1466676.0000000002,Retail-Acquisition Underwriting.xlsx,Assumption,B7,D7,NOI,high,right,acquisition_underwriting
roi_on_capex,ROI on CapEx,CapEx & Capital Allocation,Return from capital project (can be Ex-Ante or Ex-Post),0.0,Retail-Business Plan 2022.xlsx,Assumption,F13,G13,CapEx,high,right,business_plan
roi_on_capex,ROI on CapEx,CapEx & Capital Allocation,Return from capital project (can be Ex-Ante or Ex-Post),4080225.0543762296,Retail-Acquisition Underwriting.xlsx,Assumption,B10,D10,CapEx,high,right,acquisition_underwriting
lease_up_cost_per_occupied_sf_unit,Lease-up Cost per Occupied SF/Unit,CapEx & Capital Allocation,Efficiency of lease-up,1.0,Retail-Business Plan 2022.xlsx,Rent Roll,B5,B6,Unit,high,below,business_plan
lease_up_cost_per_occupied_sf_unit,Lease-up Cost per Occupied SF/Unit,CapEx & Capital Allocation,Efficiency of lease-up,1.0,Retail-Acquisition Underwriting.xlsx,Rent Roll,B5,B6,Unit,high,below,acquisition_underwriting
loan_balance,Loan Balance,Debt & Leverage,Current outstanding debt,0.0,Financial Statement 2022.xlsx,2022,C103,D103,Debt,high,right,actuals_2022
loan_balance,Loan Balance,Debt & Leverage,Current outstanding debt,13978444.09998864,Retail-Business Plan 2022.xlsx,Assumption,F4,G4,Loan,high,right,business_plan
loan_balance,Loan Balance,Debt & Leverage,Current outstanding debt,0.0,Financial Statement 2021.xlsx,2021,C114,D114,Debt,high,right,actuals_2021
loan_balance,Loan Balance,Debt & Leverage,Current outstanding debt,13978444.09998864,Retail-Acquisition Underwriting.xlsx,Assumption,F4,G4,Loan,high,right,acquisition_underwriting
original_ltv,Original LTV,Debt & Leverage,Leverage at close,0.6,Retail-Business Plan 2022.xlsx,Assumption,B22,D22,LTV,high,right,business_plan
original_ltv,Original LTV,Debt & Leverage,Leverage at close,0.6,Retail-Acquisition Underwriting.xlsx,Assumption,B22,D22,LTV,high,right,acquisition_underwriting
current_ltv,Current LTV,Debt & Leverage,Leverage today,0.6,Retail-Business Plan 2022.xlsx,Assumption,B22,D22,LTV,high,right,business_plan
current_ltv,Current LTV,Debt & Leverage,Leverage today,0.6,Retail-Acquisition Underwriting.xlsx,Assumption,B22,D22,LTV,high,right,acquisition_underwriting
debt_yield,Debt Yield,Debt & Leverage,Cash return to lender on current balance,0.0,Financial Statement 2022.xlsx,2022,C103,D103,Debt,high,right,actuals_2022
debt_yield,Debt Yield,Debt & Leverage,Cash return to lender on current balance,13978444.09998864,Retail-Business Plan 2022.xlsx,Assumption,F4,G4,Loan,high,right,business_plan
debt_yield,Debt Yield,Debt & Leverage,Cash return to lender on current balance,0.0,Financial Statement 2021.xlsx,2021,C114,D114,Debt,high,right,actuals_2021
debt_yield,Debt Yield,Debt & Leverage,Cash return to lender on current balance,13978444.09998864,Retail-Acquisition Underwriting.xlsx,Assumption,F4,G4,Loan,high,right,acquisition_underwriting
dscr_debt_coverage_ratio,DSCR / Debt Coverage Ratio,Debt & Leverage,Debt service coverage,0.0,Financial Statement 2022.xlsx,2022,C103,D103,Debt,high,right,actuals_2022
dscr_debt_coverage_ratio,DSCR / Debt Coverage Ratio,Debt & Leverage,Debt service coverage,13978444.09998864,Retail-Business Plan 2022.xlsx,Assumption,F4,G4,Loan,high,right,business_plan
dscr_debt_coverage_ratio,DSCR / Debt Coverage Ratio,Debt & Leverage,Debt service coverage,0.0,Financial Statement 2021.xlsx,2021,C114,D114,Debt,high,right,actuals_2021
dscr_debt_coverage_ratio,DSCR / Debt Coverage Ratio,Debt & Leverage,Debt service coverage,13978444.09998864,Retail-Acquisition Underwriting.xlsx,Assumption,F4,G4,Loan,high,right,acquisition_underwriting
interest_rate,Interest Rate,Debt & Leverage,Cost of debt,0.035,Retail-Business Plan 2022.xlsx,Assumption,B35,D35,Interest Rate,high,right,business_plan
interest_rate,Interest Rate,Debt & Leverage,Cost of debt,0.035,Retail-Acquisition Underwriting.xlsx,Assumption,B31,D31,Interest Rate,high,right,acquisition_underwriting
debt_service_constant,Debt Service Constant,Debt & Leverage,Annual debt service ÷ loan amount,0.0,Financial Statement 2022.xlsx,2022,C103,D103,Debt,high,right,actuals_2022
debt_service_constant,Debt Service Constant,Debt & Leverage,Annual debt service ÷ loan amount,13978444.09998864,Retail-Business Plan 2022.xlsx,Assumption,F4,G4,Loan,high,right,business_plan
debt_service_constant,Debt Service Constant,Debt & Leverage,Annual debt service ÷ loan amount,0.0,Financial Statement 2021.xlsx,2021,C114,D114,Debt,high,right,actuals_2021
debt_service_constant,Debt Service Constant,Debt & Leverage,Annual debt service ÷ loan amount,13978444.09998864,Retail-Acquisition Underwriting.xlsx,Assumption,F4,G4,Loan,high,right,acquisition_underwriting
loan_maturity,Loan Maturity,Debt & Leverage,Time left to refinance or exit,0.0,Financial Statement 2022.xlsx,2022,C103,D103,Debt,high,right,actuals_2022
loan_maturity,Loan Maturity,Debt & Leverage,Time left to refinance or exit,13978444.09998864,Retail-Business Plan 2022.xlsx,Assumption,F4,G4,Loan,high,right,business_plan
loan_maturity,Loan Maturity,Debt & Leverage,Time left to refinance or exit,0.0,Financial Statement 2021.xlsx,2021,C114,D114,Debt,high,right,actuals_2021
loan_maturity,Loan Maturity,Debt & Leverage,Time left to refinance or exit,13978444.09998864,Retail-Acquisition Underwriting.xlsx,Assumption,F4,G4,Loan,high,right,acquisition_underwriting
refinance_dscr,Refinance DSCR,Debt & Leverage,Underwritten coverage at refi,1.25,Retail-Business Plan 2022.xlsx,Assumption,B33,D33,DSCR,high,right,business_plan
break_even_occupancy_monthly,Break-even Occupancy (Monthly),Debt & Leverage,Occupancy needed to cover opex and debt,0.0,Retail-Business Plan 2022.xlsx,Proforma,B18,F18,Vacancy,high,right,business_plan
break_even_occupancy_monthly,Break-even Occupancy (Monthly),Debt & Leverage,Occupancy needed to cover opex and debt,0.0,Retail-Acquisition Underwriting.xlsx,Proforma,B18,F18,Vacancy,high,right,acquisition_underwriting
exit_value_terminal_value,Exit Value / Terminal Value,Valuation & Returns,Anticipated sale value,44712672.90232339,Retail-Business Plan 2022.xlsx,Assumption,B17,D17,Exit Value,high,right,business_plan
exit_value_terminal_value,Exit Value / Terminal Value,Valuation & Returns,Anticipated sale value,38975694.008088954,Retail-Acquisition Underwriting.xlsx,Assumption,B17,D17,Exit Value,high,right,acquisition_underwriting
unlevered_irr,Unlevered IRR,Valuation & Returns,Property-level return without debt,0.14936969207692852,Retail-Business Plan 2022.xlsx,Proforma,B47,F47,Unlevered IRR,high,right,business_plan
unlevered_irr,Unlevered IRR,Valuation & Returns,Property-level return without debt,0.12361383527686676,Retail-Acquisition Underwriting.xlsx,Proforma,B43,F43,Unlevered IRR,high,right,acquisition_underwriting
levered_irr,Levered IRR,Valuation & Returns,Equity return including financing,0.14936969207692852,Retail-Business Plan 2022.xlsx,Proforma,B47,F47,Levered IRR,high,right,business_plan
levered_irr,Levered IRR,Valuation & Returns,Equity return including financing,0.12361383527686676,Retail-Acquisition Underwriting.xlsx,Proforma,B43,F43,Levered IRR,high,right,acquisition_underwriting
equity_multiple,Equity Multiple,Valuation & Returns,Total equity proceeds / equity invested,0.0,Financial Statement 2022.xlsx,2022,C15,D15,EM,high,right,actuals_2022
equity_multiple,Equity Multiple,Valuation & Returns,Total equity proceeds / equity invested,0.0,Retail-Business Plan 2022.xlsx,Proforma,B11,F11,EM,high,right,business_plan
equity_multiple,Equity Multiple,Valuation & Returns,Total equity proceeds / equity invested,-14155.14,Financial Statement 2021.xlsx,2021,C15,D15,EM,high,right,actuals_2021
equity_multiple,Equity Multiple,Valuation & Returns,Total equity proceeds / equity invested,0.0,Retail-Acquisition Underwriting.xlsx,Proforma,B11,F11,EM,high,right,acquisition_underwriting
cash_on_cash_return,Cash-on-Cash Return,Valuation & Returns,Annual cash yield on equity,0.22378119013751152,Retail-Business Plan 2022.xlsx,Proforma,B70,F68,Cash-on-Cash Return,medium,nearby,business_plan
cash_on_cash_return,Cash-on-Cash Return,Valuation & Returns,Annual cash yield on equity,0.17524732884510708,Retail-Acquisition Underwriting.xlsx,Proforma,B63,F61,Cash-on-Cash Return,medium,nearby,acquisition_underwriting
unrealized_gain_loss,Unrealized Gain / Loss,Valuation & Returns,Paper value creation,182246.38,Financial Statement 2022.xlsx,2022,C125,D125,Loss,high,right,actuals_2022
unrealized_gain_loss,Unrealized Gain / Loss,Valuation & Returns,Paper value creation,0.0,Retail-Business Plan 2022.xlsx,Proforma,B24,F24,Loss,high,right,business_plan
unrealized_gain_loss,Unrealized Gain / Loss,Valuation & Returns,Paper value creation,105672.53,Financial Statement 2021.xlsx,2021,C148,D148,Loss,high,right,actuals_2021
unrealized_gain_loss,Unrealized Gain / Loss,Valuation & Returns,Paper value creation,0.0,Retail-Acquisition Underwriting.xlsx,Proforma,B23,F23,Loss,high,right,acquisition_underwriting
realized_gain_loss,Realized Gain / Loss,Valuation & Returns,Actual profit on sale/refi,182246.38,Financial Statement 2022.xlsx,2022,C125,D125,Loss,high,right,actuals_2022
realized_gain_loss,Realized Gain / Loss,Valuation & Returns,Actual profit on sale/refi,0.0,Retail-Business Plan 2022.xlsx,Proforma,B24,F24,Loss,high,right,business_plan
realized_gain_loss,Realized Gain / Loss,Valuation & Returns,Actual profit on sale/refi,105672.53,Financial Statement 2021.xlsx,2021,C148,D148,Loss,high,right,actuals_2021
realized_gain_loss,Realized Gain / Loss,Valuation & Returns,Actual profit on sale/refi,0.0,Retail-Acquisition Underwriting.xlsx,Proforma,B23,F23,Loss,high,right,acquisition_underwriting
